,ts,id,Gx,Gy,Gz,Ax,Ay,Az
0,46712,IMU0,-12,3,-5,938,2,-460
1,46712,IMU1,27,-16,-1,929,20,-453
2,46712,IMU2,6,12,-11,923,-6,-453
3,46722,IMU0,-1,1,2,938,9,-464
4,46722,IMU1,37,-19,6,928,29,-458
5,46722,IMU2,15,8,-2,918,6,-455
6,46732,IMU0,-5,-3,8,934,15,-462
7,46732,IMU1,32,-22,11,924,34,-457
8,46732,IMU2,11,6,3,918,10,-452
9,46742,IMU0,-15,8,3,938,-11,-450
10,46742,IMU1,23,-12,6,927,6,-445
11,46742,IMU2,2,15,-3,921,-15,-439
12,46752,IMU0,-1,5,-5,941,-19,-476
13,46752,IMU1,36,-15,-1,930,0,-467
14,46752,IMU2,16,11,-10,923,-20,-462
15,46762,IMU0,-6,-4,-20,937,-8,-452
16,46762,IMU1,31,-23,-15,928,10,-451
17,46762,IMU2,8,4,-25,926,-2,-450
18,46772,IMU0,-10,1,17,927,2,-482
19,46772,IMU1,28,-19,22,917,20,-477
20,46772,IMU2,7,5,11,917,2,-480
21,46782,IMU0,37,17,40,937,130,-455
22,46782,IMU1,74,-2,44,924,147,-460
23,46782,IMU2,53,19,36,910,123,-474
24,46792,IMU0,117,-58,101,1058,58,-469
25,46792,IMU1,156,-78,105,1048,78,-466
26,46792,IMU2,131,-50,93,1056,63,-466
27,46802,IMU0,185,-174,124,1319,132,-567
28,46802,IMU1,226,-194,128,1308,155,-575
29,46802,IMU2,201,-170,122,1294,129,-582
30,46812,IMU0,244,-345,153,1469,86,-673
31,46812,IMU1,287,-363,156,1443,111,-674
32,46812,IMU2,262,-337,150,1433,88,-660
33,46822,IMU0,315,-384,138,1583,32,-748
34,46822,IMU1,358,-400,143,1563,60,-733
35,46822,IMU2,330,-377,134,1571,27,-731
36,46832,IMU0,342,-405,149,1767,40,-900
37,46832,IMU1,385,-423,154,1747,70,-880
38,46832,IMU2,356,-401,146,1746,35,-861
39,46842,IMU0,320,-365,91,1907,-82,-975
40,46842,IMU1,364,-383,96,1885,-51,-974
41,46842,IMU2,341,-364,89,1881,-78,-965
42,46852,IMU0,302,-280,60,2016,8,-1012
43,46852,IMU1,346,-299,65,1998,39,-988
44,46852,IMU2,324,-277,57,1999,7,-966
45,46862,IMU0,277,-211,38,2086,-72,-1150
46,46862,IMU1,324,-230,43,2069,-42,-1151
47,46862,IMU2,298,-206,36,2074,-72,-1142
48,46872,IMU0,249,-144,76,2104,-57,-1135
49,46872,IMU1,293,-161,81,2090,-25,-1120
50,46872,IMU2,267,-137,73,2099,-60,-1112
51,46882,IMU0,216,-107,150,2348,-111,-1252
52,46882,IMU1,259,-126,155,2325,-76,-1241
53,46882,IMU2,241,-104,146,2327,-111,-1227
54,46892,IMU0,167,-162,126,2550,-35,-1306
55,46892,IMU1,207,-178,130,2528,2,-1289
56,46892,IMU2,185,-157,121,2535,-37,-1270
57,46902,IMU0,107,-235,75,2669,-94,-1389
58,46902,IMU1,146,-248,79,2638,-58,-1375
59,46902,IMU2,120,-225,69,2642,-97,-1352
60,46912,IMU0,10,-178,-10,2693,-100,-1382
61,46912,IMU1,50,-200,-7,2662,-62,-1386
62,46912,IMU2,24,-177,-17,2668,-102,-1375
63,46922,IMU0,-70,-51,-17,2804,1,-1474
64,46922,IMU1,-31,-74,-14,2785,40,-1466
65,46922,IMU2,-54,-47,-23,2808,-4,-1446
66,46932,IMU0,-9,-6,130,2896,13,-1533
67,46932,IMU1,26,-29,133,2878,54,-1527
68,46932,IMU2,9,-3,124,2901,5,-1528
69,46942,IMU0,16,10,217,3027,-59,-1558
70,46942,IMU1,53,-8,220,3003,-18,-1555
71,46942,IMU2,33,15,214,3008,-68,-1552
72,46952,IMU0,29,-67,203,3106,-96,-1596
73,46952,IMU1,61,-84,206,3067,-53,-1591
74,46952,IMU2,50,-58,195,3072,-91,-1576
75,46962,IMU0,4,-130,151,3185,-42,-1701
76,46962,IMU1,42,-149,155,3148,2,-1698
